dataset,condition,run_index,run_seed,feature_id,display_name,relevance,confidence,request_key
golub,real,3,31,F002943,TLE4 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001849,GenBank accession X53416 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001699,eed gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F000095,KIAA0101 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001570,GenBank accession U70321 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001544,GenBank accession U66048 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000640,GenBank accession L25851 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001733,GenBank accession V00563 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002768,eif-5A gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002627,GenBank accession M34458 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001924,dek gene expression,3,3,real_run3_golub_chunk001
golub,real,3,31,F000009,GenBank accession X00351 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001204,GenBank accession U10362 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002776,"fatty acid synthase, FAS gene expression",1,3,real_run3_golub_chunk001
golub,real,3,31,F002018,RY-1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001379,GenBank accession U40391 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002487,DM kinase gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002670,GenBank accession M27783 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002715,GenBank accession X53800 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000235,KIAA0137 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000299,GenBank accession D83542 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000393,HG1205-HT1205_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F000063,GenBank accession D00760 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001983,GenBank accession X71129 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002801,GenBank accession U26266 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000173,HuSAA1g gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002268,GenBank accession Z70219 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002033,CAT gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002034,C1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001742,GenBank accession X02317 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000941,GenBank accession M63262 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000497,ITGAM gene expression,4,3,real_run3_golub_chunk001
golub,real,3,31,F001375,GenBank accession U39905 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002570,GenBank accession X57579 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000302,PAF-2 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002595,ZNF148 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002706,TNF receptor gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F000387,GenBank accession D90224 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000020,GenBank accession X00351 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001669,GCP-2 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002689,GenBank accession M29277 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002735,GOS24 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000564,GenBank accession L08069 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000857,tnfr gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F003028,GenBank accession X64177 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001815,GenBank accession X15880 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001798,GenBank accession X14046 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002047,VE-cadherin gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000981,CRP gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000404,HG2167-HT2237_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F000453,HG4073-HT4343_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F000133,GenBank accession D25274 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001817,GenBank accession X15949 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000814,ALPL gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002743,GenBank accession M75715 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002519,HG3638-HT3849_s_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F001403,KSR1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002514,HG3437-HT3628_s_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F003031,tmp21 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000508,CYC1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001267,ZNF151 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000953,Gx gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001556,HU-K5 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000483,SPARC gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F000860,GenBank accession M33195 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000843,CETP gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000964,GATA-2 gene expression,3,3,real_run3_golub_chunk001
golub,real,3,31,F002644,GenBank accession X02875 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000574,CC1.3 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001753,GenBank accession X04011 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002564,GLBA gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000724,PGDH gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001655,GenBank accession U81600 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002857,DDR3 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000688,GenBank accession L38951 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001247,NOS1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001737,GenBank accession X01060 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000573,GenBank accession L10838 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002945,HBE1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000734,GenBank accession M11119 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002175,ASML3b gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000980,HK1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002149,GenBank accession X98743 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001659,FZD3 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001471,YMP gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000492,PAI1 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F000423,HG2874-HT3018_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F000591,DDX9 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001234,BNIP2 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000829,CST3 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001402,KiSS-1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001096,"propionyl CoA carboxylase beta subunit, beta PCC gene expression",1,3,real_run3_golub_chunk001
golub,real,3,31,F002852,GenBank accession U73477 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002204,GenBank accession Z11697 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000882,LIG1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000200,GenBank accession D43767 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001854,GenBank accession X54232 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001995,GenBank accession X74262 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001216,COL11A1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002354,AQP-1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000280,KIAA0174 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002690,GenBank accession M29277 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002384,GenBank accession Y00264 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001597,GenBank accession U73379 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001568,GenBank accession U69645 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000108,GenBank accession D14874 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000058,GenBank accession D00017 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001722,GenBank accession U94831 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000073,HGCR1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002185,GenBank accession Y09443 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001398,GenBank accession U43177 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000896,FAH gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000314,GenBank accession D84294 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001293,CTCF gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001269,MUM-1 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F000677,CSNK1A1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002536,HG4535-HT4940_s_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F002356,DNA-PKcs gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001764,ALDOC gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001481,htra-2 alpha gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001625,GenBank accession U78575 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002932,SPRR1A gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000194,KIAA0092 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002131,AICL gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002539,HG4757-HT5207_s_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F002332,Id2B gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001700,CLIM1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000261,GenBank accession D63998 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002339,Ich-1 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002290,GenBank accession D38081 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000340,KIAA0233 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001873,GenBank accession X57206 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002802,GenBank accession U26312 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002979,GenBank accession M25296 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002104,white gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001984,fus gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002606,GenBank accession U33838 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002596,IRF1 gene expression,3,3,real_run3_golub_chunk001
golub,real,3,31,F001246,ETV1 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001484,GenBank accession U54778 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002771,DAX1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002999,GenBank accession Z14978 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002072,ATPO gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002431,GenBank accession U27325 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000470,HG620-HT620_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F003016,PRB4 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000209,apM1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002533,HG4264-HT4534_s_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F002115,ITBA2 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001691,GenBank accession U89505 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001696,NHC gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000817,GenBank accession M24899 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001207,MOX1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000013,TFRC gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002806,UBE2I gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001332,CLN3 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000509,GenBank accession J04456 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002894,GAP1 IP4BP gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001074,CRABP-II gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000217,GenBank accession D50495 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001935,GenBank accession X66363 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002906,GenBank accession U57341 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002933,GenBank accession L08010 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002001,CDC46 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001641,GenBank accession U79287 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000457,HG4178-HT4448_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F002210,GenBank accession Z17227 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001020,PAF-1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000503,JUN gene expression,3,3,real_run3_golub_chunk001
golub,real,3,31,F002287,GenBank accession D29805 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002309,GenBank accession L11284 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000078,APX gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001491,VBP-1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001552,BAF60b gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001075,GenBank accession M97856 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001531,dipA gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000008,GAPD gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000212,GenBank accession D49489 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002813,EPB72 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002128,nov gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000795,BMP2 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002631,S31iii125 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001134,GenBank accession U00968 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000701,NF-AT4c gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001389,GenBank accession U41635 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000731,STAT4 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001009,GenBank accession M84526 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001763,GenBank accession X04828 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000350,KIAA0246 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001195,mda-6 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002132,SCHAD gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000940,GenBank accession M63180 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000165,KIAA0058 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002613,GenBank accession M27394 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000728,GenBank accession L77561 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001025,p62 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000038,COX6B gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002964,GenBank accession X72475 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002856,GenBank accession U82108 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F003047,GenBank accession U58516 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001996,alpha 7 integrin gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000812,MLC-1V/Sb isoform gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001286,P5CDh gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000010,GenBank accession X00351 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001887,TCF-1 gene expression,3,3,real_run3_golub_chunk001
golub,real,3,31,F002095,GenBank accession X89267 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001069,GenBank accession M96326 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001058,GenBank accession M94556 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000170,KIAA0071 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000643,oct-6 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F000545,x11 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002326,G-y-alpha gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000522,GenBank accession J05032 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000499,ETFA gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001424,GenBank accession U47635 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002142,GenBank accession X98172 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002641,coseg gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000918,GALT gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000266,SEC14L gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001097,Na+/H+ exchanger NHE-1 isoform gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001274,ECA39 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001932,GenBank accession X65873 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000012,TFRC gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002065,TCL1 gene expression,4,3,real_run3_golub_chunk001
golub,real,3,31,F002926,NAK1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001822,GenBank accession X16663 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001241,EAA5 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000052,SMAD7 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002662,GenBank accession M16938 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002582,ACP5 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001400,DRP2 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002246,GenBank accession Z48054 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000774,GRP78 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000516,ALDR1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000911,TNFAIP1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000802,MLC gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002938,GenBank accession M30838 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000198,KIAA0096 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001249,GenBank accession U17579 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000290,KIAA0188 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002931,HG881-HT881_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F001957,CL 100 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002441,NRAMP1 gene expression,4,3,real_run3_golub_chunk001
golub,real,3,31,F002544,HG721-HT4828_s_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F002936,GenBank accession M12125 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001237,LCB2 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002183,not gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000619,GenBank accession L19872 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001002,GenBank accession M82882 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002050,MLN51 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001347,mta1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001476,Grap gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001206,Jaw1 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002777,GenBank accession X58199 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001985,P39 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000850,GNB3 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001224,tafII30 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001298,GenBank accession U26710 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001458,Humirf5 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000596,PRPH gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002412,hCREM-2 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002168,GenBank accession Y00433 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000768,CHRM4 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000875,GenBank accession M34539 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000713,p87/89 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000789,GenBank accession M21904 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002496,GenBank accession X04654 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002791,GenBank accession X75346 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001323,GenBank accession U31382 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001799,GenBank accession X14329 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002323,PTPN1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002273,GenBank accession Z83821 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001385,HRG4 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001810,motilin gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001080,KRT1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001708,99D8.1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001113,ERV9 reverse transcriptase homolog gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001955,proliferation associated gene (pag) gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002773,TINUR gene expression,3,3,real_run3_golub_chunk001
golub,real,3,31,F002409,GenBank accession D13705 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000879,GenBank accession M35128 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000664,PECAM-1 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002401,GenBank accession D10537 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002647,GenBank accession M13690 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001364,POLR2H gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000192,KIAA0084 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002071,GenBank accession X83127 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000828,GenBank accession M27826 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002295,hMNB gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002053,PHKLA gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001709,GenBank accession U91930 expression,0,2,real_run3_golub_chunk001
